incident_year,recovery_status,provoked_unprovoked,victim_activity
1931.0,injured,provoked,snorkelling
1931.0,fatal,provoked,swimming
1931.0,injured,provoked,snorkelling
1932.0,injured,unprovoked,swimming
1932.0,injured,provoked,fishing
1932.0,injured,provoked,fishing
1932.0,injured,provoked,snorkelling
1932.0,fatal,unprovoked,swimming
1932.0,injured,unprovoked,swimming
1932.0,injured,unprovoked,swimming
1932.0,injured,unprovoked,swimming
1933.0,fatal,unprovoked,swimming
1933.0,uninjured,provoked,fishing
1933.0,injured,provoked,snorkelling
1933.0,injured,provoked,snorkelling
1933.0,uninjured,provoked,fishing
1933.0,injured,unprovoked,swimming
1933.0,uninjured,provoked,diving
1933.0,fatal,provoked,snorkelling
1933.0,injured,provoked,snorkelling
1933.0,injured,provoked,swimming
1934.0,injured,unprovoked,swimming
1934.0,injured,unprovoked,swimming
1934.0,uninjured,provoked,snorkelling
1934.0,injured,provoked,spearfishing
1934.0,fatal,unprovoked,swimming
1934.0,injured,unprovoked,swimming
1934.0,fatal,unprovoked,swimming
1934.0,fatal,unprovoked,swimming
1934.0,fatal,provoked,snorkelling
1934.0,fatal,unprovoked,swimming
1934.0,injured,unprovoked,swimming
1934.0,fatal,unprovoked,swimming
1934.0,fatal,unprovoked,swimming
1934.0,injured,unprovoked,swimming
1935.0,fatal,unprovoked,swimming
1935.0,injured,unprovoked,boarding
1935.0,fatal,unprovoked,swimming
1935.0,injured,unprovoked,snorkelling
1935.0,injured,provoked,snorkelling
1935.0,fatal,unprovoked,swimming
1935.0,injured,provoked,snorkelling
1935.0,fatal,provoked,snorkelling
1935.0,injured,provoked,snorkelling
1936.0,uninjured,provoked,boarding
1936.0,injured,provoked,snorkelling
1936.0,fatal,unprovoked,swimming
1936.0,fatal,unprovoked,swimming
1936.0,uninjured,unprovoked,unmotorised boating
1936.0,injured,provoked,snorkelling
1936.0,injured,unprovoked,swimming
1936.0,injured,provoked,snorkelling
1936.0,injured,provoked,snorkelling
1936.0,fatal,provoked,snorkelling
1936.0,injured,provoked,snorkelling
1936.0,injured,provoked,snorkelling
1936.0,injured,provoked,swimming
1936.0,injured,unprovoked,swimming
1936.0,fatal,unprovoked,swimming
1937.0,injured,unprovoked,swimming
1937.0,fatal,unprovoked,swimming
1937.0,injured,unprovoked,swimming
1937.0,fatal,unprovoked,swimming
1937.0,injured,provoked,snorkelling
1937.0,injured,unprovoked,swimming
1937.0,fatal,unprovoked,swimming
1937.0,fatal,unprovoked,swimming
1937.0,injured,unprovoked,swimming
1937.0,injured,provoked,snorkelling
1938.0,injured,provoked,fishing
1938.0,injured,provoked,swimming
1938.0,uninjured,unprovoked,boarding
1938.0,injured,unprovoked,unmotorised boating
1938.0,fatal,provoked,diving
1938.0,fatal,provoked,diving
1938.0,injured,provoked,fishing
1938.0,injured,provoked,swimming
1939.0,uninjured,provoked,fishing
1939.0,injured,provoked,snorkelling
1939.0,injured,unprovoked,swimming
1939.0,injured,provoked,snorkelling
1939.0,injured,unprovoked,swimming
1939.0,fatal,unprovoked,swimming
1940.0,injured,provoked,snorkelling
1940.0,injured,unprovoked,swimming
1940.0,injured,unprovoked,swimming
1940.0,fatal,unprovoked,swimming
1940.0,fatal,unprovoked,swimming
1940.0,injured,provoked,snorkelling
1940.0,injured,unprovoked,swimming
1940.0,fatal,unprovoked,swimming
1941.0,injured,unprovoked,swimming
1941.0,fatal,unprovoked,swimming
1941.0,injured,unprovoked,swimming
1941.0,injured,unprovoked,swimming
1942.0,fatal,unprovoked,swimming
1942.0,uninjured,provoked,boarding
1942.0,injured,provoked,snorkelling
1942.0,injured,provoked,snorkelling
1942.0,injured,unprovoked,swimming
1942.0,fatal,unprovoked,swimming
1943.0,injured,unprovoked,swimming
1944.0,injured,unprovoked,boarding
1945.0,injured,provoked,fishing
1945.0,fatal,unprovoked,swimming
1946.0,injured,unprovoked,swimming
1946.0,fatal,unprovoked,swimming
1946.0,injured,unprovoked,swimming
1946.0,fatal,unprovoked,swimming
1946.0,fatal,unprovoked,swimming
1946.0,injured,unprovoked,swimming
1946.0,fatal,provoked,snorkelling
1946.0,injured,unprovoked,swimming
